Complaint, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
HEAT_HOT WATER, 10.13, 11.95, 13.11, 14.11, 15.13, 16.43, 17.09, 
Noise - Residential, 0.32, 0.32, 0.33, 0.32, 0.33, 0.33, 0.35, 
Illegal Parking, 0.55, 0.56, 0.56, 0.56, 0.56, 0.56, 0.57, 
Blocked Driveway, 0.57, 0.57, 0.57, 0.57, 0.57, 0.58, 0.58, 
Street Condition, 18.69, 20.49, 22.12, 23.2, 24.34, 25.19, 25.43, 
UNSANITARY CONDITION, 69.6, 73.41, 77.44, 81.33, 83.49, 87.82, 90.19, 
Water System, 6.88, 6.87, 6.96, 6.92, 6.95, 6.92, 6.82, 
Street Light Condition, 19.05, 18.63, 18.53, 18.47, 18.58, 18.84, 18.79, 
Noise - Street_Sidewalk, 0.53, 0.54, 0.54, 0.54, 0.55, 0.55, 0.55, 
PAINT_PLASTER, 71.32, 74.6, 76.26, 77.14, 78.01, 80.67, 82.18, 
Noise, 26.66, 27.04, 27.04, 27.36, 27.86, 28.66, 28.95, 
PLUMBING, 75.36, 78.1, 81.25, 84.58, 86.66, 89.05, 91.23, 
Noise - Commercial, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.5, 
Traffic Signal Condition, 1.6, 1.68, 1.68, 1.69, 1.7, 1.7, 1.69, 
DOOR_WINDOW, 76.98, 79.03, 80.76, 83.94, 86.9, 90.44, 92.73, 
Sanitation Condition, 8.74, 9.89, 9.82, 9.68, 9.73, 10.14, 10.25, 
Dirty Conditions, 21.82, 24.53, 24.51, 24.67, 24.83, 25.49, 25.96, 
WATER LEAK, 79.86, 83.67, 85.98, 87.91, 91.94, 95.78, 99.91, 
Sewer, 3.92, 4.09, 4.16, 4.42, 4.43, 4.55, 4.65, 
Missed Collection (All Materials), 20.73, 22.98, 23.6, 24.36, 24.36, 24.76, 24.62, 
General Construction_Plumbing, 140.14, 146.75, 124.43, 122.34, 110.56, 105.46, 115.69, 
Derelict Vehicle, 1.01, 1.02, 1.01, 1.01, 1.01, 1.01, 1.04, 
Derelict Vehicles, 0.35, 0.35, 0.35, 0.35, 0.35, 0.36, 0.36, 
Building_Use, 271.58, 296.56, 315.58, 332.53, 333.72, 392.23, 418.76, 
Sidewalk Condition, 42.85, 44.11, 45.14, 46.58, 49.39, 50.73, 53.13, 
ELECTRIC, 80.88, 82.79, 83.2, 85.44, 86.79, 89.1, 89.89, 
GENERAL, 81.33, 82.24, 85.57, 88.25, 91.63, 95.65, 98.46, 
Noise - Vehicle, 0.56, 0.57, 0.57, 0.58, 0.57, 0.57, 0.59, 
FLOORING_STAIRS, 89.75, 90.35, 93.78, 94.98, 96.79, 99.05, 101.3, 
Rodent, 40.47, 44.07, 47.19, 49.97, 52.72, 55.12, 56.72, 
Damaged Tree, 245.53, 248.47, 270.62, 299.7, 269.77, 291.68, 249.31, 
