Complaint, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
HEAT_HOT WATER, 19.66, 20.57, 20.89, 20.89, 20.84, 21.34, 22.48, 
Noise - Residential, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.27, 
Illegal Parking, 0.48, 0.48, 0.48, 0.49, 0.49, 0.5, 0.51, 
Blocked Driveway, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.53, 
Street Condition, 28.26, 29.2, 29.41, 29.18, 29.01, 29.33, 30.47, 
UNSANITARY CONDITION, 99.4, 104.53, 109.28, 113.9, 118.16, 122.7, 127.62, 
Water System, 6.63, 6.61, 6.67, 6.69, 6.75, 6.76, 6.82, 
Street Light Condition, 28.02, 28.85, 28.3, 26.95, 25.45, 24.92, 25.66, 
Noise - Street_Sidewalk, 0.53, 0.55, 0.55, 0.55, 0.55, 0.55, 0.56, 
PAINT_PLASTER, 80.04, 83.18, 85.43, 87.33, 89.19, 91.25, 93.64, 
Noise, 44.31, 46.02, 45.46, 43.47, 41.08, 40.16, 42.16, 
PLUMBING, 89.61, 93.36, 96.78, 99.63, 102.45, 105.61, 109.45, 
Noise - Commercial, 0.46, 0.46, 0.46, 0.47, 0.47, 0.47, 0.48, 
Traffic Signal Condition, 1.5, 1.53, 1.53, 1.55, 1.57, 1.57, 1.6, 
DOOR_WINDOW, 87.93, 91.13, 94.23, 97.96, 101.68, 105.55, 109.0, 
Sanitation Condition, 11.91, 12.09, 11.7, 11.61, 11.61, 11.59, 11.69, 
Dirty Conditions, 25.15, 26.01, 26.19, 26.22, 26.3, 26.67, 27.41, 
WATER LEAK, 95.75, 99.93, 102.91, 106.25, 109.85, 113.44, 117.35, 
Sewer, 2.95, 3.0, 3.02, 3.05, 3.09, 3.15, 3.2, 
Missed Collection (All Materials), 23.45, 24.36, 24.73, 25.13, 25.24, 25.28, 25.47, 
General Construction_Plumbing, 43.36, 44.63, 44.35, 43.9, 43.17, 42.98, 43.71, 
Derelict Vehicle, 1.02, 1.03, 1.03, 1.03, 1.03, 1.03, 1.06, 
Derelict Vehicles, 0.35, 0.35, 0.36, 0.36, 0.36, 0.36, 0.36, 
Building_Use, 131.29, 134.54, 136.63, 139.49, 141.42, 143.39, 145.57, 
Sidewalk Condition, 50.77, 52.66, 53.16, 53.21, 53.48, 54.23, 56.44, 
ELECTRIC, 78.41, 80.3, 81.56, 83.09, 84.73, 86.4, 88.14, 
GENERAL, 101.32, 105.02, 109.29, 113.68, 117.94, 122.53, 126.75, 
Noise - Vehicle, 0.51, 0.52, 0.53, 0.53, 0.53, 0.54, 0.54, 
FLOORING_STAIRS, 95.08, 97.48, 100.41, 102.12, 104.89, 107.55, 110.48, 
Rodent, 54.89, 57.49, 59.57, 61.63, 63.58, 65.74, 68.07, 
Damaged Tree, 98.25, 99.56, 100.05, 100.96, 101.89, 102.45, 104.39, 
