Complaint, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
HEAT_HOT WATER, 10.82, 13.52, 14.74, 15.63, 16.35, 17.14, 17.78, 
Noise - Residential, 0.26, 0.26, 0.26, 0.26, 0.26, 0.24, 0.27, 
Illegal Parking, 0.61, 0.61, 0.61, 0.61, 0.61, 0.48, 0.49, 
Blocked Driveway, 0.57, 0.57, 0.58, 0.58, 0.58, 0.49, 0.51, 
Street Condition, 18.11, 19.8, 20.78, 21.53, 22.39, 22.96, 23.36, 
UNSANITARY CONDITION, 68.91, 72.88, 77.49, 81.09, 85.19, 88.63, 93.71, 
Water System, 6.5, 6.78, 6.86, 6.86, 6.82, 6.73, 6.73, 
Street Light Condition, 17.07, 17.16, 17.17, 17.14, 17.16, 17.31, 17.44, 
Noise - Street_Sidewalk, 0.53, 0.54, 0.54, 0.54, 0.54, 0.53, 0.54, 
PAINT_PLASTER, 63.05, 67.07, 69.65, 72.86, 75.37, 77.51, 78.21, 
Noise, 25.59, 26.03, 26.0, 26.53, 27.2, 28.17, 28.53, 
PLUMBING, 72.02, 74.99, 77.1, 80.22, 82.37, 84.97, 88.31, 
Noise - Commercial, 0.47, 0.47, 0.47, 0.47, 0.47, 0.46, 0.46, 
Traffic Signal Condition, 1.41, 1.44, 1.44, 1.45, 1.46, 1.46, 1.47, 
DOOR_WINDOW, 72.24, 73.46, 73.92, 77.39, 79.95, 83.29, 85.56, 
Sanitation Condition, 8.42, 9.49, 9.45, 9.36, 9.3, 9.58, 9.72, 
Dirty Conditions, 20.56, 23.27, 23.69, 23.55, 23.88, 24.44, 24.68, 
WATER LEAK, 75.4, 78.99, 80.64, 83.25, 86.82, 90.45, 94.16, 
Sewer, 3.21, 3.15, 3.06, 3.01, 3.02, 3.0, 2.99, 
Missed Collection (All Materials), 20.47, 22.45, 22.83, 23.25, 23.27, 23.49, 23.58, 
General Construction_Plumbing, 39.65, 43.29, 42.91, 42.52, 42.08, 42.95, 41.77, 
Derelict Vehicle, 1.14, 1.14, 1.13, 1.14, 1.14, 1.0, 1.01, 
Derelict Vehicles, 0.34, 0.34, 0.34, 0.34, 0.34, 0.35, 0.35, 
Building_Use, 145.77, 129.8, 132.24, 137.37, 136.91, 137.55, 136.93, 
Sidewalk Condition, 38.52, 40.47, 41.7, 42.96, 45.18, 46.02, 47.23, 
ELECTRIC, 74.87, 77.13, 77.14, 79.7, 81.5, 83.28, 83.82, 
GENERAL, 76.97, 78.91, 82.73, 86.16, 90.0, 94.99, 99.36, 
Noise - Vehicle, 0.54, 0.55, 0.55, 0.55, 0.55, 0.52, 0.53, 
FLOORING_STAIRS, 85.54, 86.59, 88.6, 89.21, 91.68, 94.46, 97.15, 
Rodent, 40.05, 44.27, 47.21, 49.57, 51.81, 53.94, 55.31, 
Damaged Tree, 101.17, 100.83, 103.9, 104.57, 105.47, 107.09, 111.63, 
