Complaint, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
HEAT_HOT WATER, 20.86, 24.72, 25.54, 24.1, 21.83, 21.99, 26.55, 
Noise - Residential, 0.29, 0.29, 0.3, 0.3, 0.3, 0.32, 0.34, 
Illegal Parking, 0.66, 0.68, 0.69, 0.71, 0.72, 0.73, 0.81, 
Blocked Driveway, 0.65, 0.69, 0.68, 0.71, 0.73, 0.72, 0.77, 
Street Condition, 29.8, 34.01, 34.97, 33.6, 31.53, 31.32, 35.91, 
UNSANITARY CONDITION, 67.55, 73.19, 77.36, 80.4, 81.5, 85.2, 92.36, 
Water System, 6.84, 7.46, 7.97, 8.3, 8.63, 8.91, 9.22, 
Street Light Condition, 33.73, 37.6, 37.83, 33.74, 27.45, 25.24, 30.23, 
Noise - Street_Sidewalk, 0.59, 0.63, 0.64, 0.66, 0.68, 0.7, 0.74, 
PAINT_PLASTER, 67.93, 73.82, 76.94, 78.58, 79.89, 84.12, 90.42, 
Noise, 52.7, 60.19, 59.7, 52.71, 42.01, 37.33, 48.6, 
PLUMBING, 71.46, 76.88, 80.64, 83.97, 85.51, 89.06, 94.8, 
Noise - Commercial, 0.52, 0.53, 0.53, 0.57, 0.57, 0.58, 0.59, 
Traffic Signal Condition, 1.52, 1.6, 1.61, 1.67, 1.76, 1.77, 1.86, 
DOOR_WINDOW, 71.51, 73.46, 76.9, 81.09, 84.73, 91.48, 96.06, 
Sanitation Condition, 13.49, 14.31, 14.32, 14.42, 14.47, 14.12, 14.13, 
Dirty Conditions, 25.35, 28.87, 29.92, 29.85, 29.9, 31.11, 34.44, 
WATER LEAK, 78.22, 86.79, 89.09, 92.43, 98.32, 106.09, 116.19, 
Sewer, 4.45, 4.7, 4.75, 4.85, 4.81, 4.84, 5.09, 
Missed Collection (All Materials), 25.96, 29.97, 32.79, 35.7, 37.72, 39.1, 40.96, 
General Construction_Plumbing, 48.32, 54.25, 54.8, 55.36, 54.62, 53.91, 57.23, 
Derelict Vehicle, 1.27, 1.35, 1.32, 1.35, 1.42, 1.43, 1.47, 
Derelict Vehicles, 0.38, 0.39, 0.41, 0.42, 0.44, 0.47, 0.48, 
Building_Use, 149.32, 153.28, 157.62, 166.87, 172.91, 181.26, 181.51, 
Sidewalk Condition, 58.32, 64.36, 64.34, 61.2, 56.83, 54.82, 62.06, 
ELECTRIC, 77.39, 82.82, 82.52, 84.02, 85.6, 89.32, 94.07, 
GENERAL, 74.88, 76.56, 81.17, 86.14, 89.54, 97.3, 103.04, 
Noise - Vehicle, 0.6, 0.6, 0.63, 0.65, 0.66, 0.68, 0.68, 
FLOORING_STAIRS, 87.93, 92.29, 96.28, 95.58, 99.87, 105.46, 113.93, 
Rodent, 48.52, 55.32, 60.39, 63.86, 67.75, 72.57, 78.79, 
Damaged Tree, 102.5, 105.1, 107.35, 111.84, 116.48, 119.99, 131.08, 
